ID,Section,Claim,Figure as used in pieces,Primary source,Source type,Provenance tier,Verification status (this session),Audit note,Action needed
E1,I. Economy,India is fastest-growing major economy; real GDP ~6.4-7.6% FY24-26,~7% GDP growth,IBEF / Economic Survey / MoSPI,Govt aggregator + primary,1,PARTIAL,IBEF is an industry body citing MoSPI/Economic Survey; the headline growth figure is uncontroversial and cross-confirmed by RBI. Not re-fetched to raw MoSPI table this session.,No
E2,I. Economy,Real rural wages grew ~7%/yr (2010-16) then collapsed to ~0-1%/yr,~1%/yr real wage growth,"Das & Dreze, Labour Bureau 'Wage Rates in Rural India'",Academic (primary data series),1,NOT RE-VERIFIED TO PRIMARY,Used via Countercurrents secondary. The Labour Bureau series is real & public; the Das-Dreze computation should be traced to their original paper/column before terminal citation. Directionally consistent across multiple economists.,TRACE TO PRIMARY
E3,I. Economy,"Corporate profit +22.3% vs employment +1.5% (FY24); profit-to-GDP 4.8% (Nifty 500), highest since FY08",+22.3% vs +1.5%,SBI Research / Nifty 500 analysis,Private-sector research,2,NOT RE-VERIFIED,SBI Research has analytical credibility but is not independent-academic. Reported via The Federal. Trace to the SBI report itself; treat as 'per SBI Research' not fact.,ATTRIBUTE EXPLICITLY
E4,I. Economy,K-shaped recovery; widening income/wealth inequality,K-shaped,CEDA (Ashoka Univ) + World Inequality Report 2026,Academic + independent,1,VERIFIED (institutional),"CEDA and WIR are credible independent sources. Framing claim, not a single disputed number.",No
E5,I. Economy,Jobless growth predates 2014; employment elasticity falling since 1991 liberalisation,caveat,PLFS / Economic Survey / economic literature,Primary + academic,1,VERIFIED (consensus),"Well-established in the literature; used as an honesty caveat, not a headline stat.",No
ED1,II. Education,23.4% of Class 3 can read a Class 2 text (ASER 2024),23.4% (used as ALL children),"ASER 2024 National Findings PDF, asercentre.org",Independent survey (primary),1,VERIFIED - ERROR FOUND,"*** MATERIAL CORRECTION *** Primary PDF states 23.4% is GOVERNMENT-SCHOOL Std III specifically, NOT all children. All-India (all schools) Std III reading recovered to ~27.1% (Ideas for India). Pieces present 23.4% as the all-children national figure. MUST FIX.",CORRECT: specify 'government-school' OR use 27.1% all-India
ED2,II. Education,33.7% of Class 3 can do subtraction; 44.8% Class 5 read; 30.7% Class 5 divide,33.7 / 44.8 / 30.7,ASER 2024 National Findings PDF,Independent survey (primary),1,VERIFIED - NUANCE,33.7% subtraction is ALL-INDIA (confirmed in PDF). 44.8% Class-5 reading and 30.7% Class-5 division are GOVERNMENT-SCHOOL figures per PDF. Mixed all-India vs govt-school; must label each consistently.,LABEL SCHOOL-TYPE PER FIGURE
ED3,II. Education,'3 in 4 Class 3 kids can't read grade-2 text',76.6% cannot,Derived from ASER 2024,Derived,2,VERIFIED w/ CAVEAT,76.6% is the inverse of the 23.4% GOVERNMENT-SCHOOL figure. As an all-children claim it overstates: all-India inverse is ~73%. Rhetorically close but technically tied to the govt-school number.,SOFTEN or SPECIFY govt-school
ED4,II. Education,ASER 2024 = biggest improvement in 20-year history; govt-school led; NEP/FLN driven,caveat (pro-govt),ASER 2024 / NIPUN Bharat,Independent survey,1,VERIFIED,"Confirmed in primary PDF: reading & arithmetic at highest levels since survey inception, driven by govt schools; >80% schools got FLN directive. Honest positive caveat stands.",No
ED5,II. Education,NAS (govt survey) statistically unreliable even for state comparisons,caveat,"Johnson & Parrado (2021), PMC8246517",Peer-reviewed,1,VERIFIED,Peer-reviewed; confirmed in earlier fetch. Solid.,No
